class,precision,recall,f1-score,support,Category,dataset
Mongolian Oak,0.7336481287163343,0.7602392171076477,0.7467070131719473,5518.0,Broadleaf,3
Oriental Oak,0.6916802610114192,0.6608773101759073,0.6759280346162605,4491.0,Broadleaf,3
accuracy,0.7156559096812869,0.7156559096812869,0.7156559096812869,0.7156559096812869,Broadleaf,3
macro avg,0.7126641948638768,0.7105582636417775,0.7113175238941039,10009.0,Broadleaf,3
weighted avg,0.714817307069539,0.7156559096812869,0.7149487563337428,10009.0,Broadleaf,3
Non-Forest,0.9748471615720524,0.9436929320257017,0.9590170976888048,5914.0,Overall,4
Pine,0.7035434693036671,0.8341475329750855,0.7632990612427358,4094.0,Overall,4
Nut Pine,0.7269926838659992,0.7206106870229008,0.7237876174046387,2620.0,Overall,4
Larch,0.9444608131997643,0.8515075043166423,0.89557868268492,7529.0,Overall,4
Mongolian Oak,0.6250634195839675,0.6894236149972021,0.6556679084619479,5361.0,Overall,4
Oriental Oak,0.5829870447323393,0.5359550561797752,0.5584826132771338,4450.0,Overall,4
accuracy,0.7800320341697811,0.7800320341697811,0.7800320341697811,0.7800320341697811,Overall,4
macro avg,0.7596490987096316,0.7625562212528846,0.7593054967933636,29968.0,Overall,4
weighted avg,0.7877194578425265,0.7800320341697811,0.7820339101155238,29968.0,Overall,4
Conifer,0.9541669632054658,0.9499078928723254,0.9520326646547133,14114.0,Conifer vs Broadleaf,4
Broadleaf,0.9282888731108632,0.9342588811759902,0.9312643093360468,9796.0,Conifer vs Broadleaf,4
accuracy,0.9434964450020912,0.9434964450020912,0.9434964450020912,0.9434964450020912,Conifer vs Broadleaf,4
macro avg,0.9412279181581644,0.9420833870241578,0.9416484869953801,23910.0,Conifer vs Broadleaf,4
weighted avg,0.9435646306849002,0.9434964450020912,0.9435238060724607,23910.0,Conifer vs Broadleaf,4
Pine,0.8027738598965679,0.8754165598564471,0.8375229920294298,3901.0,Conifer,4
Nut Pine,0.7619047619047619,0.7456556082148499,0.7536926147704591,2532.0,Conifer,4
Larch,0.9604494382022472,0.9192715801548609,0.9394094805480255,6974.0,Conifer,4
accuracy,0.8737226821809503,0.8737226821809503,0.8737226821809503,0.8737226821809503,Conifer,4
macro avg,0.8417093533345256,0.8467812494087193,0.8435416957826382,13407.0,Conifer,4
weighted avg,0.8770745182831238,0.8737226821809503,0.8746899835792897,13407.0,Conifer,4
Mongolian Oak,0.6701722574796011,0.7469684721099434,0.7064895345503202,4948.0,Broadleaf,4
Oriental Oak,0.6557602419576574,0.5673168411037107,0.6083407728606045,4204.0,Broadleaf,4
accuracy,0.6644449300699301,0.6644449300699301,0.6644449300699301,0.6644449300699301,Broadleaf,4
macro avg,0.6629662497186293,0.657142656606827,0.6574151537054623,9152.0,Broadleaf,4
weighted avg,0.6635520527970998,0.6644449300699301,0.6614045920084097,9152.0,Broadleaf,4
