class,precision,recall,f1-score,support,Category,dataset
Nut Pine,0.818413021363174,0.47463126843657816,0.6008215085884989,3390.0,Overall,3
Larch,0.8067984738120014,0.8872782757962998,0.845126714506313,5243.0,Overall,3
Mongolian Oak,0.6698872785829307,0.8087663485330505,0.73280486828409,5658.0,Overall,3
Oriental Oak,0.6449846692947876,0.6284677763551003,0.6366191093817553,4686.0,Overall,3
accuracy,0.78358372114814,0.78358372114814,0.78358372114814,0.78358372114814,Overall,3
macro avg,0.7781183351124837,0.7512849013270927,0.7556375891086745,32017.0,Overall,3
weighted avg,0.788269697489184,0.78358372114814,0.7795808113717599,32017.0,Overall,3
Conifer,0.9598238019290651,0.8902507748661594,0.9237291232686474,14196.0,Conifer vs Broadleaf,3
Broadleaf,0.8626102292768959,0.9486955678401707,0.9036072236848183,10311.0,Conifer vs Broadleaf,3
accuracy,0.914840657771249,0.914840657771249,0.914840657771249,0.914840657771249,Conifer vs Broadleaf,3
macro avg,0.9112170156029805,0.9194731713531651,0.9136681734767329,24507.0,Conifer vs Broadleaf,3
weighted avg,0.9189224615929769,0.914840657771249,0.9152630969655968,24507.0,Conifer vs Broadleaf,3
Pine,0.7803857350800583,0.8854252683732452,0.8295938104448742,4844.0,Conifer,3
Nut Pine,0.821337417049515,0.531023102310231,0.6450190418921627,3030.0,Conifer,3
Larch,0.8975496816515531,0.9764903442485307,0.9353573941892028,4764.0,Conifer,3
accuracy,0.8347839848077228,0.8347839848077228,0.8347839848077228,0.8347839848077228,Conifer,3
macro avg,0.8330909445937088,0.7976462383106689,0.8033234155087466,12638.0,Conifer,3
weighted avg,0.8343699602607876,0.8347839848077228,0.8252099019342923,12638.0,Conifer,3
Mongolian Oak,0.7820885318748931,0.8227256382596189,0.8018925786383948,5562.0,Broadleaf,3
Oriental Oak,0.74917323836174,0.6978672985781991,0.7226107226107226,4220.0,Broadleaf,3
accuracy,0.7688611735841341,0.7688611735841341,0.7688611735841341,0.7688611735841341,Broadleaf,3
macro avg,0.7656308851183166,0.760296468418909,0.7622516506245587,9782.0,Broadleaf,3
weighted avg,0.7678887221605704,0.7688611735841341,0.7676900196078513,9782.0,Broadleaf,3
Non-Forest,0.9719979384985398,0.9567128846804194,0.9642948444823178,5914.0,Overall,4
Pine,0.7630195891065457,0.7801660967269174,0.7714975845410628,4094.0,Overall,4
Nut Pine,0.7824612403100775,0.6164122137404581,0.6895815542271563,2620.0,Overall,4
Larch,0.8829773119278227,0.8839155266303625,0.8834461701845214,7529.0,Overall,4
Mongolian Oak,0.6714932126696832,0.6920350680843126,0.6816094065772552,5361.0,Overall,4
Oriental Oak,0.607445708376422,0.66,0.6326332794830372,4450.0,Overall,4
accuracy,0.7931460224239189,0.7931460224239189,0.7931460224239189,0.7931460224239189,Overall,4
macro avg,0.7798991668148485,0.764873631643745,0.7705104732492251,29968.0,Overall,4
weighted avg,0.7966227693738919,0.7931460224239189,0.7938082898803436,29968.0,Overall,4
Conifer,0.9688304050577079,0.9344820251010423,0.9513462787843788,14103.0,Conifer vs Broadleaf,4
Broadleaf,0.9101866251944012,0.956681651001226,0.9328551504283722,9788.0,Conifer vs Broadleaf,4
accuracy,0.9435770792348583,0.9435770792348583,0.9435770792348583,0.9435770792348583,Conifer vs Broadleaf,4
macro avg,0.9395085151260545,0.9455818380511342,0.9421007146063756,23891.0,Conifer vs Broadleaf,4
weighted avg,0.9448043987246937,0.9435770792348583,0.9437705739437027,23891.0,Conifer vs Broadleaf,4
Pine,0.805142425006302,0.8499201703033529,0.826925566343042,3758.0,Conifer,4
Nut Pine,0.7920549288867091,0.6424025457438345,0.7094223588842521,2514.0,Conifer,4
Larch,0.9277847483619127,0.9635152743593456,0.9453125,6907.0,Conifer,4
accuracy,0.8698687305561879,0.8698687305561879,0.8698687305561879,0.8698687305561879,Conifer,4
macro avg,0.8416607007516412,0.8186126634688443,0.8272201417424313,13179.0,Conifer,4
weighted avg,0.8669216618355415,0.8698687305561879,0.8665564554254619,13179.0,Conifer,4
Mongolian Oak,0.7350901525658807,0.7288801571709234,0.7319719838216435,5090.0,Broadleaf,4
Oriental Oak,0.6803335649756775,0.687178287318671,0.6837387964148528,4274.0,Broadleaf,4
accuracy,0.7098462195642887,0.7098462195642887,0.7098462195642887,0.7098462195642887,Broadleaf,4
macro avg,0.7077118587707791,0.7080292222447973,0.7078553901182482,9364.0,Broadleaf,4
weighted avg,0.7100976648084557,0.7098462195642887,0.7099569642812096,9364.0,Broadleaf,4
