class,precision,recall,f1-score,support,Category,patch_size,data_type
Mongolian Oak,0.6443563207273431,0.8430421394524824,0.7304290622030554,23707.0,Overall,3,train_data
Oriental Oak,0.6326546060101431,0.46286758597773714,0.5346040680567993,18057.0,Overall,3,train_data
accuracy,0.7572269564859413,0.7572269564859413,0.7572269564859413,0.7572269564859413,Overall,3,train_data
macro avg,0.7494307236868015,0.7408679842735627,0.7347705453240891,121455.0,Overall,3,train_data
weighted avg,0.7682595589985933,0.7572269564859413,0.7532745712494219,121455.0,Overall,3,train_data
Conifer,0.9607620732082436,0.9189114645582421,0.9393708705745247,54385.0,Conifer vs Broadleaf,3,train_data
Broadleaf,0.8996929375639714,0.950932781998269,0.9246034992578395,41596.0,Conifer vs Broadleaf,3,train_data
accuracy,0.9327887811129286,0.9327887811129286,0.9327887811129286,0.9327887811129286,Conifer vs Broadleaf,3,train_data
macro avg,0.9302275053861075,0.9349221232782556,0.931987184916182,95981.0,Conifer vs Broadleaf,3,train_data
weighted avg,0.9342960875833892,0.9327887811129286,0.9329710250083311,95981.0,Conifer vs Broadleaf,3,train_data
Pine,0.8324921893775534,0.6180563815867729,0.709424173123528,16814.0,Conifer,3,train_data
Nut Pine,0.6109637998616555,0.830968247745982,0.7041823074112215,12755.0,Conifer,3,train_data
Larch,0.9543784749801429,0.942124865235715,0.9482120838471023,20406.0,Conifer,3,train_data
accuracy,0.8047223611805903,0.8047223611805903,0.8047223611805903,0.8047223611805903,Conifer,3,train_data
macro avg,0.7992781547397839,0.7970498315228234,0.7872728547939506,49975.0,Conifer,3,train_data
weighted avg,0.8257211425687723,0.8047223611805903,0.8055891778071657,49975.0,Conifer,3,train_data
Mongolian Oak,0.7061691753232987,0.8734758096237053,0.7809624289314812,22881.0,Broadleaf,3,train_data
Oriental Oak,0.7427352705945082,0.5012594458438288,0.5985605328177033,16674.0,Broadleaf,3,train_data
accuracy,0.7165718619643534,0.7165718619643534,0.7165718619643534,0.7165718619643534,Broadleaf,3,train_data
macro avg,0.7244522229589034,0.687367627733767,0.6897614808745922,39555.0,Broadleaf,3,train_data
weighted avg,0.7215832335347043,0.7165718619643534,0.7040728014305044,39555.0,Broadleaf,3,train_data
Non-Forest,0.9283927454659162,0.936888608393815,0.9326213287262447,3169.0,Overall,3,validation
Pine,0.6505444416307926,0.5707620528771384,0.6080473372781066,4501.0,Overall,3,validation
Nut Pine,0.6040372670807453,0.7560738581146744,0.6715580492015537,4116.0,Overall,3,validation
Larch,0.9450918427809599,0.8248577831408378,0.8808910162002945,5801.0,Overall,3,validation
Mongolian Oak,0.5846673200479147,0.8531701890989989,0.6938485396743345,6293.0,Overall,3,validation
Oriental Oak,0.6865756541524459,0.39055169066494094,0.49788594410642467,6181.0,Overall,3,validation
accuracy,0.7058314759988025,0.7058314759988025,0.7058314759988025,0.7058314759988025,Overall,3,validation
macro avg,0.7332182118597957,0.7220506970484007,0.7141420358644931,30061.0,Overall,3,validation
weighted avg,0.7239249484985922,0.7058314759988025,0.6989222464989897,30061.0,Overall,3,validation
Conifer,0.9484831139095592,0.9332582371163053,0.9408090844570618,14204.0,Conifer vs Broadleaf,3,validation
Broadleaf,0.9252778434618113,0.9422104502769083,0.9336673824862801,12459.0,Conifer vs Broadleaf,3,validation
accuracy,0.9374413981922515,0.9374413981922515,0.9374413981922515,0.9374413981922515,Conifer vs Broadleaf,3,validation
macro avg,0.9368804786856852,0.9377343436966068,0.9372382334716709,26663.0,Conifer vs Broadleaf,3,validation
weighted avg,0.9376398305390273,0.9374413981922515,0.9374719331667356,26663.0,Conifer vs Broadleaf,3,validation
Pine,0.7298295454545455,0.616954851104707,0.6686621551275378,4164.0,Conifer,3,validation
Nut Pine,0.6390143737166324,0.7826961770623743,0.7035948451277414,3976.0,Conifer,3,validation
Larch,0.9833538840937115,0.9353010164190774,0.9587257062712883,5116.0,Conifer,3,validation
accuracy,0.7895292697646349,0.7895292697646349,0.7895292697646349,0.7895292697646349,Conifer,3,validation
macro avg,0.7840659344216299,0.7783173481953862,0.7769942355088558,13256.0,Conifer,3,validation
weighted avg,0.8004352631407275,0.7895292697646349,0.7910865292292455,13256.0,Conifer,3,validation
Mongolian Oak,0.6250291036088474,0.8795871559633027,0.7307744657683408,6104.0,Broadleaf,3,validation
Oriental Oak,0.7665925690695459,0.42839396628216503,0.5496357012750456,5635.0,Broadleaf,3,validation
accuracy,0.663003663003663,0.663003663003663,0.663003663003663,0.663003663003663,Broadleaf,3,validation
macro avg,0.6958108363391966,0.6539905611227339,0.6402050835216933,11739.0,Broadleaf,3,validation
weighted avg,0.6929829436183061,0.663003663003663,0.6438235382685777,11739.0,Broadleaf,3,validation
Non-Forest,0.9375552164484781,0.9655500413564929,0.9513467258872906,24180.0,Overall,5,train_data
Pine,0.7573738719641451,0.6607661822985469,0.7057794333446213,18925.0,Overall,5,train_data
Nut Pine,0.7629841931561577,0.6602780909432544,0.7079253797493855,13305.0,Overall,5,train_data
Larch,0.8013981070572989,0.8966911280045701,0.8463708004977187,22757.0,Overall,5,train_data
Mongolian Oak,0.6670941800409026,0.8147756138865369,0.7335760163143952,23620.0,Overall,5,train_data
Oriental Oak,0.6399436369029962,0.48109946476360393,0.5492679821769574,17936.0,Overall,5,train_data
accuracy,0.7696710651657099,0.7696710651657099,0.7696710651657099,0.7696710651657099,Overall,5,train_data
macro avg,0.7610582009283298,0.7465267535421675,0.7490443896617281,120723.0,Overall,5,train_data
weighted avg,0.7672697056646167,0.7696710651657099,0.7638890942584738,120723.0,Overall,5,train_data
Conifer,0.9450256332645997,0.9322049712622229,0.9385715225131284,53588.0,Conifer vs Broadleaf,5,train_data
Broadleaf,0.9137607710019703,0.9298067632850242,0.9217139368108516,41400.0,Conifer vs Broadleaf,5,train_data
accuracy,0.9311597254390028,0.9311597254390028,0.9311597254390028,0.9311597254390028,Conifer vs Broadleaf,5,train_data
macro avg,0.9293932021332849,0.9310058672736236,0.93014272966199,94988.0,Conifer vs Broadleaf,5,train_data
weighted avg,0.931399014137206,0.9311597254390028,0.9312242360340546,94988.0,Conifer vs Broadleaf,5,train_data
Pine,0.7956352993573838,0.7678845563401904,0.7815136553965377,16285.0,Conifer,5,train_data
Nut Pine,0.7880337280229638,0.6994983677044351,0.7411313114270047,12559.0,Conifer,5,train_data
