class,precision,recall,f1-score,support,Category,dataset
Larch,0.9236462797039345,0.9447469783503786,0.9340774786605384,7529.0,Overall,4
Mongolian Oak,0.7721596724667349,0.7036000746129454,0.7362873316416162,5361.0,Overall,4
Oriental Oak,0.6811007689194658,0.7564044943820225,0.7167802385008518,4450.0,Overall,4
accuracy,0.847003470368393,0.847003470368393,0.847003470368393,0.847003470368393,Overall,4
macro avg,0.836983812188492,0.825337613213854,0.828946479598193,29968.0,Overall,4
weighted avg,0.8495246411809784,0.847003470368393,0.8467215376640588,29968.0,Overall,4
Conifer,0.9688929551692589,0.9736897941862932,0.9712854522364893,14139.0,Conifer vs Broadleaf,4
Broadleaf,0.9617559370823481,0.9548841482086353,0.9583077238270846,9797.0,Conifer vs Broadleaf,4
accuracy,0.9659926470588235,0.9659926470588235,0.9659926470588235,0.9659926470588235,Conifer vs Broadleaf,4
macro avg,0.9653244461258035,0.9642869711974642,0.964796588031787,23936.0,Conifer vs Broadleaf,4
weighted avg,0.9659717750975064,0.9659926470588235,0.9659736706010057,23936.0,Conifer vs Broadleaf,4
Pine,0.8549272250059652,0.9161339810790079,0.8844729696371266,3911.0,Conifer,4
Nut Pine,0.8845057034220533,0.7278060226828315,0.7985410856039477,2557.0,Conifer,4
Larch,0.9519539614561028,0.9745170571311138,0.9631033782411482,7299.0,Conifer,4
accuracy,0.9121086656497421,0.9121086656497421,0.9121086656497421,0.9121086656497421,Conifer,4
macro avg,0.897128963294707,0.872819020297651,0.8820391444940743,13767.0,Conifer,4
weighted avg,0.911862673444949,0.9121086656497421,0.9102008351799402,13767.0,Conifer,4
Mongolian Oak,0.804092943935195,0.7439842209072979,0.7728716320049175,5070.0,Broadleaf,4
Oriental Oak,0.7216981132075472,0.7855309218203034,0.7522628226617499,4285.0,Broadleaf,4
accuracy,0.7630144307856761,0.7630144307856761,0.7630144307856761,0.7630144307856761,Broadleaf,4
macro avg,0.7628955285713711,0.7647575713638006,0.7625672273333337,9355.0,Broadleaf,4
weighted avg,0.766352500357646,0.7630144307856761,0.7634318941069513,9355.0,Broadleaf,4
