class,precision,recall,f1-score,support,Category,patch_size,data_type
Pine,0.9633032892426548,0.9528192659488248,0.9580325960419093,17274.0,Conifer,5,train_data
Nut Pine,0.9388069379153834,0.9690454279260436,0.9536865505742868,11953.0,Conifer,5,train_data
Larch,0.9829379343398035,0.9737441838381921,0.9783194600138335,21062.0,Conifer,5,train_data
accuracy,0.9654397581976177,0.9654397581976177,0.9654397581976177,0.9654397581976177,Conifer,5,train_data
macro avg,0.9616827204992805,0.9652029592376868,0.9633462022100098,50289.0,Conifer,5,train_data
weighted avg,0.9657042120611891,0.9654397581976177,0.9654961297670217,50289.0,Conifer,5,train_data
Mongolian Oak,0.975118589456726,0.9411307389971062,0.9578232488626124,23153.0,Broadleaf,5,train_data
Oriental Oak,0.9276807980049875,0.969179600886918,0.9479762517960257,18040.0,Broadleaf,5,train_data
accuracy,0.9534144150705217,0.9534144150705217,0.9534144150705217,0.9534144150705217,Broadleaf,5,train_data
macro avg,0.9513996937308568,0.9551551699420121,0.9528997503293191,41193.0,Broadleaf,5,train_data
weighted avg,0.9543437549511217,0.9534144150705217,0.9535108698884851,41193.0,Broadleaf,5,train_data
Non-Forest,0.9554339327599687,0.9729299363057324,0.964102564102564,3768.0,Overall,5,validation
Pine,0.853007065311046,0.8404074702886248,0.8466603951081845,5890.0,Overall,5,validation
Nut Pine,0.9313668224299065,0.8890437691664344,0.9097133076593924,7174.0,Overall,5,validation
Larch,0.9522414671421294,0.953942332227609,0.9530911408540472,7838.0,Overall,5,validation
Mongolian Oak,0.7766962496421415,0.8619539316918189,0.8171071455462691,6295.0,Overall,5,validation
Oriental Oak,0.7977059436913452,0.7506132461161079,0.7734434240458338,6115.0,Overall,5,validation
accuracy,0.8761326860841424,0.8761326860841424,0.8761326860841424,0.8761326860841424,Overall,5,validation
macro avg,0.8777419134960897,0.8781484476327212,0.8773529962193818,37080.0,Overall,5,validation
weighted avg,0.8774772279952436,0.8761326860841424,0.876199456287546,37080.0,Overall,5,validation
Conifer,0.9798651158244551,0.9659392012333189,0.9728523253839249,20757.0,Conifer vs Broadleaf,5,validation
Broadleaf,0.9442385046139286,0.9667312661498708,0.9553525116705901,12384.0,Conifer vs Broadleaf,5,validation
accuracy,0.9662351769711234,0.9662351769711234,0.9662351769711234,0.9662351769711234,Conifer vs Broadleaf,5,validation
macro avg,0.9620518102191918,0.9663352336915949,0.9641024185272575,33141.0,Conifer vs Broadleaf,5,validation
weighted avg,0.9665523022934464,0.9662351769711234,0.9663130630494768,33141.0,Conifer vs Broadleaf,5,validation
Pine,0.8853514576998748,0.9229908633227671,0.9037794412999818,5363.0,Conifer,5,validation
Nut Pine,0.9440497335701599,0.9090649942987458,0.9262271275050827,7016.0,Conifer,5,validation
Larch,0.970660781513696,0.9747099465519489,0.9726811499934955,7671.0,Conifer,5,validation
accuracy,0.9379052369077306,0.9379052369077306,0.9379052369077306,0.9379052369077306,Conifer,5,validation
